angleout,pathlength,cylangleadvance,windingrot,anglein
20.092000, 1539.020043, 33.751794, -753.750317, 23.020495
20.093000, 1538.830747, 33.644981, -753.642468, 23.024395
20.094000, 1538.574424, 33.500445, -753.496529, 23.032690
20.095000, 1538.386786, 33.394553, -753.389610, 23.040366
20.096000, 1538.236487, 33.309672, -753.303906, 23.046346
20.097000, 1537.515853, 32.902674, -752.893363, 23.070738
20.098000, 1537.327684, 32.794389, -752.786119, 23.078748
20.099000, 1519.931959, 22.848653, -742.842609, 24.631559
20.100000, 1519.787479, 22.765654, -742.758808, 24.637703
20.101000, 1519.643983, 22.683211, -742.675569, 24.642188
20.102000, 1519.521052, 22.612480, -742.604158, 24.645263
20.103000, 1519.271344, 22.469084, -742.459737, 24.655289
20.104000, 1598.656825, 67.496355, -787.493317, 21.579287
20.105000, 1597.464766, 66.832076, -786.822667, 21.632163
20.106000, 1596.345208, 66.195900, -786.192586, 21.678340
20.107000, 1596.467966, 66.265448, -786.261471, 21.659511
20.108000, 1595.645463, 65.797975, -785.798461, 21.703026
20.109000, 1598.817798, 67.584609, -787.582429, 21.504875
20.110000, 1575.801561, 54.614882, -774.613392, 22.263156
20.111000, 1576.961955, 55.267393, -775.268772, 22.172594
20.112000, 1597.652773, 66.904879, -786.896113, 20.815743
20.113000, 1596.666785, 66.349460, -786.344681, 20.854668
20.114000, 1595.987390, 65.965709, -785.964591, 20.877821
20.115000, 1595.545450, 65.716036, -785.717307, 20.885851
20.116000, 1583.461429, 58.939656, -778.930888, 21.888497
20.117000, 1582.929033, 58.636709, -778.630844, 21.910433
20.118000, 1583.106057, 58.737494, -778.730665, 21.883329
20.119000, 1582.290555, 58.273581, -778.271177, 21.916264
20.120000, 1594.982586, 65.401974, -785.403914, 21.104540
20.121000, 1568.588783, 50.504634, -770.501655, 23.113461
20.122000, 1584.935683, 59.756571, -779.754359, 21.933699
20.123000, 1584.443043, 59.481554, -779.476674, 21.946056
20.124000, 1603.934011, 70.417601, -790.417607, 20.742621
20.125000, 1603.400560, 70.122215, -790.119358, 20.756130
20.126000, 1603.065299, 69.936508, -789.931849, 20.757826
20.127000, 1602.254896, 69.487719, -789.478729, 20.785401
20.128000, 1601.582594, 69.108958, -789.102760, 20.800131
20.129000, 1602.909012, 69.849888, -789.844389, 20.709221
20.130000, 1602.387539, 69.561177, -789.552891, 20.725187
20.131000, 1602.011025, 69.350912, -789.342394, 20.731788
20.132000, 1602.537461, 69.643809, -789.636319, 20.717760
20.133000, 1602.246715, 69.482794, -789.473757, 20.721097
20.134000, 1608.115804, 72.754035, -792.751402, 20.413503
20.135000, 1584.258924, 59.373811, -779.367887, 22.066114
20.136000, 1584.244708, 59.365703, -779.359701, 22.065087
20.137000, 1583.882063, 59.162995, -779.155037, 22.073089
20.138000, 1583.250730, 58.806281, -778.798794, 22.094330
20.139000, 1589.781765, 62.480321, -782.479228, 21.720259
20.140000, 1597.519108, 66.826695, -786.817338, 20.831463
20.141000, 1597.379335, 66.747829, -786.739233, 20.818915
20.142000, 1596.634660, 66.327258, -786.322691, 20.849553
20.143000, 1596.162310, 66.060427, -786.058405, 20.864615
20.144000, 1595.467324, 65.667830, -785.669564, 20.882929
20.145000, 1583.662097, 59.048862, -779.039807, 21.874094
20.146000, 1583.647023, 59.040486, -779.031351, 21.852387
20.147000, 1582.976279, 58.659575, -778.653492, 21.882333
20.148000, 1583.197811, 58.785533, -778.778245, 21.875109
20.149000, 1582.519681, 58.399754, -778.396148, 21.902687
20.150000, 1583.767583, 59.107605, -779.099114, 21.800210
20.151000, 1594.964366, 65.387710, -785.389512, 21.096447
20.152000, 1568.728962, 50.580725, -770.577021, 23.100270
20.153000, 1584.910140, 59.738116, -779.735724, 21.924032
20.154000, 1584.800816, 59.676987, -779.674003, 21.923678
20.155000, 1604.101710, 70.506224, -790.507086, 20.730382
20.156000, 1584.893465, 59.728644, -779.726161, 21.921931
20.157000, 1585.899340, 60.289132, -780.292063, 21.881294
20.158000, 1603.703772, 70.285811, -790.284540, 20.742411
20.159000, 1604.135222, 70.524392, -790.525429, 20.727446
20.160000, 1603.681499, 70.273135, -790.271741, 20.738811
20.161000, 1602.928825, 69.856360, -789.850924, 20.756961
20.162000, 1602.714084, 69.737331, -789.730744, 20.758277
20.163000, 1601.889360, 69.277418, -789.269606, 20.785996
20.164000, 1603.210042, 70.011859, -790.007930, 20.700122
20.165000, 1603.064028, 69.930939, -789.926226, 20.694371
20.166000, 1602.952378, 69.869007, -789.863693, 20.690996
20.167000, 1609.193896, 73.345201, -793.348289, 20.374029
20.168000, 1608.308593, 72.856048, -792.854406, 20.399600
20.169000, 1584.623732, 59.573070, -779.569077, 22.047355
20.170000, 1584.362306, 59.426885, -779.421475, 22.051874
20.171000, 1583.676532, 59.043654, -779.034549, 22.072604
20.172000, 1571.140940, 51.927504, -771.925239, 23.323460
20.173000, 1570.384290, 51.500496, -771.494083, 23.357066
20.174000, 1570.394550, 51.506146, -771.499787, 23.340213
20.175000, 1575.618611, 54.473766, -774.470907, 23.000232
20.176000, 1575.616851, 54.472540, -774.469669, 22.984001
20.177000, 1574.671100, 53.940217, -773.932195, 23.033556
20.178000, 1574.161679, 53.650642, -773.642550, 23.051422
20.179000, 1573.232858, 53.117456, -773.114456, 23.093820
20.180000, 1587.652661, 61.286178, -781.279914, 22.042216
20.181000, 1577.383743, 55.471788, -775.471210, 22.821271
20.182000, 1591.649471, 63.535450, -783.532635, 21.800412
20.183000, 1595.063124, 65.451191, -785.453604, 21.561130
20.184000, 1597.784247, 66.990330, -786.982386, 21.396655
20.185000, 1596.770916, 66.418493, -786.413055, 21.442129
20.186000, 1578.109601, 55.877514, -775.873065, 22.950078
