angleout,pathlength,cylangleadvance,windingrot,anglein
19.100000, 1684.775953, 115.465770, -835.465399, 21.580042
19.200000, 1603.777996, 70.160879, -790.158396, 23.065540
19.300000, 1617.016157, 77.418149, -797.410162, 24.096378
19.400000, 1651.950134, 97.244134, -817.243337, 21.553902
19.500000, 1636.583658, 88.570523, -808.569524, 22.652419
19.600000, 1619.595435, 79.168536, -799.165939, 20.812128
19.700000, 1574.833115, 54.025638, -774.018439, 21.657692
19.800000, 1687.664114, 117.070684, -837.067862, 21.461460
19.900000, 1521.061713, 23.493316, -743.493520, 24.566061
20.000000, 1518.053621, 21.580416, -741.579560, 25.801042
20.100000, 1519.787479, 22.765654, -742.758808, 24.637703
20.200000, 1601.950422, 69.334929, -789.326565, 21.199665
20.300000, 1535.853576, 32.043449, -752.042348, 23.224544
20.400000, 1722.754284, 136.583053, -856.580371, 19.137612
20.500000, 1482.519652, 1.566863, -721.557778, 25.053421
20.600000, 1641.202873, 91.209342, -811.208644, 22.044294
20.700000, 1448.827011, 342.148087, -702.149698, 26.469596
20.800000, 1460.078321, 348.687367, -708.678815, 25.447719
20.900000, 1482.724044, 1.704497, -721.695752, 24.619004
21.000000, 1417.033038, 323.695152, -683.646272, 27.179984
21.100000, 1444.013101, 339.388488, -699.390346, 25.338803
21.200000, 1391.413867, 309.086313, -668.660059, 27.427777
21.300000, 1566.992714, 49.691970, -769.693315, 22.192557
21.400000, 1554.965298, 42.931516, -762.926120, 21.852683
21.500000, 1559.696465, 45.598327, -765.592366, 21.826865
21.600000, 1569.420477, 50.592717, -770.588898, 25.251751
21.700000, 1567.359055, 49.393887, -769.392349, 25.506130
21.800000, 1618.539042, 78.575205, -798.578284, 20.557160
21.900000, 1568.264530, 50.395333, -770.393396, 22.476763
22.000000, 1600.822365, 68.688667, -788.686475, 20.749002
22.100000, 1581.588571, 57.900984, -777.902137, 21.571056
22.200000, 1562.897649, 47.407807, -767.409496, 21.232163
22.300000, 1501.266651, 12.520907, -732.515874, 23.692929
22.400000, 1500.010843, 11.806030, -731.798851, 23.872923
22.500000, 1501.094445, 12.435084, -732.429220, 23.103789
22.600000, 1549.093970, 39.542364, -759.544406, 20.854780
22.700000, 1481.098284, 1.005762, -721.002045, 24.431047
22.800000, 1542.850625, 36.018645, -756.013847, 23.317688
22.900000, 1596.120390, 65.958643, -785.957593, 20.138573
23.000000, 1497.221423, 10.212921, -730.210793, 23.988306
23.100000, 1521.859541, 24.128151, -744.127875, 24.260441
23.200000, 1479.788062, 359.870606, -719.869350, 27.155732
23.300000, 1465.875019, 352.360548, -712.362331, 24.389558
23.400000, 1454.070212, 345.561224, -705.555436, 25.411743
23.500000, 1477.410529, 358.914528, -718.905837, 24.607551
23.600000, 1544.248083, 36.805990, -756.808821, 21.224926
23.700000, 1440.430189, 337.757548, -697.751358, 25.266985
23.800000, 1427.422813, 330.270760, -690.260450, 25.481953
23.900000, 1453.739011, 345.438135, -705.433535, 24.420267
24.000000, 1445.519405, 340.719019, -700.709619, 24.496689
24.100000, 1438.529233, 336.688730, -696.689741, 25.301892
24.200000, 1374.713108, 299.390361, -659.202906, 30.576054
24.300000, 1418.377435, 325.086613, -685.090989, 24.452311
24.400000, 1413.103160, 321.951980, -681.978067, 26.897448
24.500000, 1388.617288, 308.296851, -667.841094, 26.181662
24.600000, 1423.291507, 327.913353, -687.910142, 23.998228
24.700000, 1418.011314, 324.895690, -684.886904, 24.586578
24.800000, 1422.453038, 327.449459, -687.437141, 24.057975
24.900000, 1393.892016, 311.234961, -670.841398, 24.614083
25.000000, 1354.444733, 287.724709, -647.796167, 28.555075
25.100000, 1376.961364, 301.245341, -661.076843, 26.147549
25.200000, 1376.149385, 301.006219, -660.613248, 26.473939
25.300000, 1366.250226, 295.193168, -654.795118, 27.797774
25.400000, 1374.119891, 299.863783, -659.430149, 27.055355
25.500000, 1353.284359, 287.298736, -647.262489, 26.978791
25.600000, 1358.606514, 290.361986, -650.381130, 26.681510
25.700000, 1351.853186, 286.480052, -646.423584, 27.304050
25.800000, 1322.035298, 268.746921, -628.735924, 28.737130
25.900000, 1329.512250, 273.414328, -633.189439, 27.842543
26.000000, 1399.828848, 314.212312, -674.289232, 23.966824
26.100000, 1385.359637, 306.066682, -665.970072, 25.181332
26.200000, 1371.046129, 297.951164, -657.634260, 26.705996
26.300000, 1345.850900, 283.304942, -642.941126, 27.449357
26.400000, 1342.235987, 280.829824, -640.802042, 27.928677
